localTime,refTime,TPS,TxnCount,BlockCount
21 Jul 2025 10:49:39,00:00:04:27,1,439,6
21 Jul 2025 10:49:40,00:00:04:28,1,439,6
21 Jul 2025 10:49:41,00:00:04:29,1,439,6
21 Jul 2025 10:49:42,00:00:04:30,1,439,6
21 Jul 2025 10:49:43,00:00:04:31,1,439,6
21 Jul 2025 10:49:44,00:00:04:32,1,439,6
21 Jul 2025 10:49:45,00:00:04:33,1,439,6
21 Jul 2025 10:49:46,00:00:04:34,1,439,6
21 Jul 2025 10:49:47,00:00:04:35,1,439,6
21 Jul 2025 10:49:48,00:00:04:36,1,439,6
21 Jul 2025 10:49:49,00:00:04:37,1,439,6
21 Jul 2025 10:49:50,00:00:04:38,1,439,6
21 Jul 2025 10:49:51,00:00:04:39,1,439,6
21 Jul 2025 10:49:52,00:00:04:40,1,439,6
21 Jul 2025 10:49:53,00:00:04:41,1,439,6
21 Jul 2025 10:49:54,00:00:04:42,1,439,6
21 Jul 2025 10:49:55,00:00:04:43,1,439,6
21 Jul 2025 10:49:56,00:00:04:44,1,439,6
21 Jul 2025 10:49:57,00:00:04:45,1,439,6
21 Jul 2025 10:49:58,00:00:04:46,1,439,6
21 Jul 2025 10:49:59,00:00:04:47,1,439,6
21 Jul 2025 10:50:00,00:00:04:48,1,439,6
21 Jul 2025 10:50:01,00:00:04:49,1,439,6
21 Jul 2025 10:50:02,00:00:04:50,1,439,6
21 Jul 2025 10:50:03,00:00:04:51,1,439,6
21 Jul 2025 10:50:04,00:00:04:52,1,439,6
21 Jul 2025 10:50:05,00:00:04:53,1,439,6
21 Jul 2025 10:50:06,00:00:04:54,1,439,6
21 Jul 2025 10:50:07,00:00:04:55,1,439,6
21 Jul 2025 10:50:08,00:00:04:56,1,439,6
21 Jul 2025 10:50:09,00:00:04:57,1,439,6
21 Jul 2025 10:50:10,00:00:04:58,1,439,6
21 Jul 2025 10:50:11,00:00:04:59,1,439,6
21 Jul 2025 10:50:12,00:00:05:00,1,439,6
21 Jul 2025 10:50:13,00:00:05:01,1,439,6
21 Jul 2025 10:50:14,00:00:05:02,1,439,6
21 Jul 2025 10:50:15,00:00:05:03,1,439,6
21 Jul 2025 10:50:16,00:00:05:04,1,439,6
21 Jul 2025 10:50:17,00:00:05:05,1,439,6
21 Jul 2025 10:50:18,00:00:05:06,1,439,6
21 Jul 2025 10:50:19,00:00:05:07,1,439,6
21 Jul 2025 10:50:20,00:00:05:08,1,439,6
21 Jul 2025 10:50:21,00:00:05:09,1,439,6
21 Jul 2025 10:50:22,00:00:05:10,1,439,6
21 Jul 2025 10:50:23,00:00:05:11,1,439,6
21 Jul 2025 10:50:24,00:00:05:12,1,439,6
21 Jul 2025 10:50:25,00:00:05:13,1,439,6
21 Jul 2025 10:50:26,00:00:05:14,1,439,6
21 Jul 2025 10:50:27,00:00:05:15,1,439,6
21 Jul 2025 10:50:28,00:00:05:16,1,439,6
21 Jul 2025 10:50:29,00:00:05:17,1,502,7
21 Jul 2025 10:50:30,00:00:05:18,1,502,7
21 Jul 2025 10:50:31,00:00:05:19,1,502,7
21 Jul 2025 10:50:32,00:00:05:20,1,502,7
21 Jul 2025 10:50:33,00:00:05:21,1,502,7
21 Jul 2025 10:50:34,00:00:05:22,1,502,7
21 Jul 2025 10:50:35,00:00:05:23,1,502,7
21 Jul 2025 10:50:36,00:00:05:24,1,502,7
21 Jul 2025 10:50:37,00:00:05:25,1,502,7
21 Jul 2025 10:50:38,00:00:05:26,1,502,7
21 Jul 2025 10:50:39,00:00:05:27,1,502,7
21 Jul 2025 10:50:40,00:00:05:28,1,502,7
21 Jul 2025 10:50:41,00:00:05:29,1,502,7
21 Jul 2025 10:50:42,00:00:05:30,1,502,7
21 Jul 2025 10:50:43,00:00:05:31,1,502,7
21 Jul 2025 10:50:44,00:00:05:32,1,502,7
21 Jul 2025 10:50:45,00:00:05:33,1,502,7
21 Jul 2025 10:50:46,00:00:05:34,1,502,7
